COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision,Estimated re-assessment,Domain,Unique_ID,Domain_status,Taxonomic group_status,Scientific name_status,COSEWIC common name_status,COSEWIC population_status,COSEWIC status_status,Scheduled Assessment,Range_status
Yellow-breasted Chat auricollis subspecies,Southern Mountain population,Endangered,2011-11-25,Icteria virens auricollis,Yellow-breasted Chat auricollis subspecies,Southern Mountain population,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Birds,NA,Added to list,2021-11-25,Terrestrial,Icteria virens auricollis - Yellow-breasted Chat auricollis subspecies (Southern Mountain population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Yellow-breasted Chat virens subspecies,NA,Endangered,2011-11-25,Icteria virens virens,Yellow-breasted Chat virens subspecies,NA,Endangered,2017-11-02,Schedule 1,2003-06-05,Ontario,Birds,NA,Uplisted: Special Concern to endangered,2021-11-25,Terrestrial,Icteria virens virens - Yellow-breasted Chat virens subspecies,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bigmouth Buffalo,NA,Non-active,2008-04-25,Ictiobus cyprinellus,Bigmouth Buffalo,NA,NA,9999-01-01,No schedule,9999-01-01,"Manitoba, Ontario, Saskatchewan",Fishes (freshwater),NA,NA,2018-04-25,Aquatic,Ictiobus cyprinellus - Bigmouth Buffalo,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bigmouth Buffalo,Great Lakes - Upper St. Lawrence population,Not at Risk,2008-04-25,Ictiobus cyprinellus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Fishes (freshwater),NA,NA,2018-04-25,Aquatic,Ictiobus cyprinellus - Bigmouth Buffalo (Great Lakes - Upper St. Lawrence population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bigmouth Buffalo,Saskatchewan - Nelson River population,Special Concern,2009-04-26,Ictiobus cyprinellus,Bigmouth Buffalo,Saskatchewan - Nelson River population,Special Concern,2011-06-23,Schedule 1,2011-06-23,"Manitoba, Saskatchewan",Fishes (freshwater),NA,Added to list,2019-04-26,Aquatic,Ictiobus cyprinellus - Bigmouth Buffalo (Saskatchewan - Nelson River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Black Buffalo,NA,Data Deficient,2007-04-22,Ictiobus niger,Black Buffalo,NA,NA,9999-01-01,NA,9999-01-01,Ontario,Fishes (freshwater),NA,NA,2017-04-22,Aquatic,Ictiobus niger - Black Buffalo,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Shagreen,NA,Endangered,2019-11-29,Inflectarius inflectus,Shagreen,NA,Endangered,2024-06-10,Schedule 1,2024-06-10,Ontario,Molluscs,NA,Added to list,2029-11-29,Terrestrial,Inflectarius inflectus - Shagreen,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Dwarf Lake Iris,NA,Special Concern,2010-11-26,Iris lacustris,Dwarf Lake Iris,NA,Special Concern,2017-06-02,Schedule 1,2006-08-15,Ontario,Vascular Plants,NA,Downlisted: Threatened to special concern,2020-11-26,Terrestrial,Iris lacustris - Dwarf Lake Iris,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Western Blue Flag,NA,Special Concern,2010-04-25,Iris missouriensis,Western Blue Flag,NA,Special Concern,2012-06-20,Schedule 1,2003-06-05,Alberta,Vascular Plants,NA,Downlisted: Threatened to special concern,2020-04-25,Terrestrial,Iris missouriensis - Western Blue Flag,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bolander's Quillwort,NA,Threatened,2006-04-29,Isoetes bolanderi,Bolander's Quillwort,NA,Threatened,2007-12-13,Schedule 1,2007-12-13,Alberta,Vascular Plants,NA,Added to list,2016-04-29,Terrestrial,Isoetes bolanderi - Bolander's Quillwort,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Engelmann's Quillwort,NA,Endangered,2001-05-01,Isoetes engelmannii,Engelmann's Quillwort,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,NA,Added to list,2011-05-01,Terrestrial,Isoetes engelmannii - Engelmann's Quillwort,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Columbia Quillwort,NA,Endangered,2019-05-03,Isoetes minima,Columbia Quillwort,NA,Endangered,2023-02-03,Schedule 1,2023-02-03,British Columbia,Vascular Plants,NA,Added to list,2029-05-03,Terrestrial,Isoetes minima - Columbia Quillwort,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Prototype Quillwort,NA,Special Concern,2005-05-05,Isoetes prototypus,Prototype Quillwort,NA,Special Concern,2006-08-15,Schedule 1,2006-08-15,"New Brunswick, Nova Scotia",Vascular Plants,NA,Added to list,2015-05-05,Terrestrial,Isoetes prototypus - Prototype Quillwort,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Delicate Luster Moss,NA,Not at Risk,2006-04-29,Isopterygium tenerum,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Nova Scotia,Mosses,NA,NA,2016-04-29,Terrestrial,Isopterygium tenerum - Delicate Luster Moss,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Small Whorled Pogonia,NA,Endangered,2011-05-06,Isotria medeoloides,Small Whorled Pogonia,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,NA,Added to list,2021-05-06,Terrestrial,Isotria medeoloides - Small Whorled Pogonia,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Large Whorled Pogonia,NA,Endangered,2011-11-25,Isotria verticillata,Large Whorled Pogonia,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,NA,Added to list,2021-11-25,Terrestrial,Isotria verticillata - Large Whorled Pogonia,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Shortfin Mako,Atlantic population,Endangered,2019-05-03,Isurus oxyrinchus,Shortfin Mako,Atlantic population,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, New Brunswick, Newfoundland and Labrador, Nova Scotia, Prince Edward Island, Quebec",Fishes (marine),Addition,Pending,2029-05-03,Aquatic,Isurus oxyrinchus - Shortfin Mako (Atlantic population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Least Bittern,NA,Special Concern,2024-11-28,Ixobrychus exilis,Least Bittern,NA,Threatened,9999-01-01,Schedule 1,2003-06-05,"Manitoba, New Brunswick, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Birds,Status change,Pending,2034-11-28,Terrestrial,Ixobrychus exilis - Least Bittern,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Butternut,NA,Endangered,2017-04-28,Juglans cinerea,Butternut,NA,Endangered,2005-07-14,Schedule 1,2005-07-14,"New Brunswick, Ontario, Quebec",Vascular Plants,NA,Added to list,2027-04-28,Terrestrial,Juglans cinerea - Butternut,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Short-fruited Rush,NA,Endangered,2024-11-28,Juncus brachycarpus,Short-fruited Rush,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Vascular Plants,Addition,Pending,2034-11-28,Terrestrial,Juncus brachycarpus - Short-fruited Rush,NA,NA,NA,NA,NA,NA,9999-01-01,NA
New Jersey Rush,NA,Special Concern,2004-05-01,Juncus caesariensis,New Jersey Rush,NA,Special Concern,2005-07-14,Schedule 1,2005-07-14,Nova Scotia,Vascular Plants,NA,Added to list,2014-05-01,Terrestrial,Juncus caesariensis - New Jersey Rush,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Kellogg's Rush,NA,Endangered,2003-05-01,Juncus kelloggii,Kellogg's Rush,NA,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,Vascular Plants,NA,Added to list,2013-05-01,Terrestrial,Juncus kelloggii - Kellogg's Rush,NA,NA,NA,NA,NA,NA,9999-01-01,NA
American Water-willow,NA,Threatened,2021-05-05,Justicia americana,American Water-willow,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,"Ontario, Quebec",Vascular Plants,NA,Added to list,2031-05-05,Terrestrial,Justicia americana - American Water-willow,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Pygmy Sperm Whale,NA,Not at Risk,1994-04-01,Kogia breviceps,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Pacific Ocean",Mammals (marine),NA,NA,2004-04-01,Aquatic,Kogia breviceps - Pygmy Sperm Whale,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Dwarf Sperm Whale,NA,Data Deficient,1997-04-01,Kogia simus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,Mammals (marine),NA,NA,2007-04-01,Aquatic,Kogia simus - Dwarf Sperm Whale,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Pygmy Slug,NA,Special Concern,2016-04-29,Kootenaia burkei,Pygmy Slug,NA,Special Concern,2019-02-25,Schedule 1,2019-02-25,British Columbia,Molluscs,NA,Added to list,2026-04-29,Terrestrial,Kootenaia burkei - Pygmy Slug,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Brook Silverside,NA,Not at Risk,1989-04-01,Labidesthes sicculus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Ontario, Quebec",Fishes (freshwater),NA,NA,1999-04-01,Aquatic,Labidesthes sicculus - Brook Silverside,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Redroot,NA,Special Concern,2009-11-27,Lachnanthes caroliniana,Redroot,NA,Special Concern,2012-06-20,Schedule 1,2003-06-05,Nova Scotia,Vascular Plants,NA,Downlisted: Threatened to special concern,2019-11-27,Terrestrial,Lachnanthes caroliniana - Redroot,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Atlantic White-sided Dolphin,NA,Not at Risk,1991-04-01,Lagenorhynchus acutus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Atlantic Ocean,Mammals (marine),NA,NA,2001-04-01,Aquatic,Lagenorhynchus acutus - Atlantic White-sided Dolphin,NA,NA,NA,NA,NA,NA,9999-01-01,NA
White-beaked Dolphin,NA,Not at Risk,1998-04-01,Lagenorhynchus albirostris,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Atlantic Ocean,Mammals (marine),NA,NA,2008-04-01,Aquatic,Lagenorhynchus albirostris - White-beaked Dolphin,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Pacific White-sided Dolphin,NA,Not at Risk,1990-04-01,Lagenorhynchus obliquidens,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,Mammals (marine),NA,NA,2000-04-01,Aquatic,Lagenorhynchus obliquidens - Pacific White-sided Dolphin,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Porbeagle,NA,Endangered,2014-05-02,Lamna nasus,Porbeagle,NA,No Status,9999-01-01,No schedule,9999-01-01,Atlantic Ocean,Fishes (marine),Addition,Pending,2024-05-02,Aquatic,Lamna nasus - Porbeagle,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Western Brook Lamprey,Morrison Creek population,Endangered,2010-04-25,Lampetra richardsoni,Western Brook Lamprey,Morrison Creek population,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Fishes (freshwater),NA,Added to list,2020-04-25,Aquatic,Lampetra richardsoni - Western Brook Lamprey (Morrison Creek population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Milksnake,NA,Special Concern,2014-05-02,Lampropeltis triangulum,Eastern Milksnake,NA,Special Concern,2005-01-12,Schedule 1,2005-01-12,"Ontario, Quebec",Reptiles,NA,Added to list,2024-05-02,Terrestrial,Lampropeltis triangulum - Eastern Milksnake,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Yellow Lampmussel,NA,Special Concern,2013-11-01,Lampsilis cariosa,Yellow Lampmussel,NA,Special Concern,2005-07-14,Schedule 1,2005-07-14,"New Brunswick, Nova Scotia",Molluscs,NA,Added to list,2023-11-01,Aquatic,Lampsilis cariosa - Yellow Lampmussel,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Wavy-rayed Lampmussel,NA,Special Concern,2010-04-25,Lampsilis fasciola,Wavy-rayed Lampmussel,NA,Special Concern,2013-03-08,Schedule 1,2003-06-05,Ontario,Molluscs,NA,Downlisted: Endangered to special concern,2020-04-25,Aquatic,Lampsilis fasciola - Wavy-rayed Lampmussel,Aquatic,Molluscs,Lampsilis fasciola,Wavy-rayed Lampmussel,NA,Special Concern,2025-November-01,"CMN, CWS, DFO, ON, Parks"
Loggerhead Shrike,NA,Non-active,1991-04-01,Lanius ludovicianus,Loggerhead Shrike,NA,NA,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan",Birds,NA,NA,2001-04-01,Terrestrial,Lanius ludovicianus - Loggerhead Shrike,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Loggerhead Shrike Prairie subspecies,NA,Threatened,2014-05-02,Lanius ludovicianus excubitorides,Loggerhead Shrike Prairie subspecies,NA,Threatened,2005-07-14,Schedule 1,2005-07-14,"Alberta, Manitoba, Saskatchewan",Birds,NA,Added to list,2024-05-02,Terrestrial,Lanius ludovicianus excubitorides - Loggerhead Shrike Prairie subspecies,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Loggerhead Shrike migrans subspecies,NA,Non-active,2014-05-02,Lanius ludovicianus migrans,Loggerhead Shrike migrans subspecies,NA,No Status,2015-01-13,No schedule,2003-06-05,"Manitoba, Ontario, Quebec",Birds,NA,Struck - WS reassignment,2024-05-02,Terrestrial,Lanius ludovicianus migrans - Loggerhead Shrike migrans subspecies,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Loggerhead Shrike Eastern subspecies,NA,Endangered,2014-05-02,Lanius ludovicianus ssp.,Loggerhead Shrike Eastern subspecies,NA,Endangered,9999-01-01,Schedule 1,2003-06-05,"Ontario, Quebec",Birds,NA,NA,2024-05-02,Terrestrial,Lanius ludovicianus ssp. - Loggerhead Shrike Eastern subspecies,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Sable Island Sweat Bee,NA,Threatened,2014-11-28,Lasioglossum sablense,Sable Island Sweat Bee,NA,Threatened,2018-05-30,Schedule 1,2018-05-30,Nova Scotia,Arthropods,NA,Added to list,2024-11-28,Terrestrial,Lasioglossum sablense - Sable Island Sweat Bee,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Silver-haired Bat,NA,Endangered,2023-05-05,Lasionycteris noctivagans,Silver-haired Bat,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Quebec, Saskatchewan, Yukon",Mammals (terrestrial),Addition,Pending,2033-05-05,Terrestrial,Lasionycteris noctivagans - Silver-haired Bat,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Pacific Sandpirate,NA,Special Concern,2024-05-09,Lasiopogon pacificus,Pacific Sandpirate,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Arthropods,Addition,Pending,2034-05-09,Terrestrial,Lasiopogon pacificus - Pacific Sandpirate,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Red Bat,NA,Endangered,2023-05-05,Lasiurus borealis,Eastern Red Bat,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Mammals (terrestrial),Addition,Pending,2033-05-05,Terrestrial,Lasiurus borealis - Eastern Red Bat,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Hoary Bat,NA,Endangered,2023-05-05,Lasiurus cinereus,Hoary Bat,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Mammals (terrestrial),Addition,Pending,2033-05-05,Terrestrial,Lasiurus cinereus - Hoary Bat,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Rayless Goldfields,NA,Endangered,2008-04-25,Lasthenia glaberrima,Rayless Goldfields,NA,Endangered,2010-02-23,Schedule 1,2010-02-23,British Columbia,Vascular Plants,NA,Added to list,2018-04-25,Terrestrial,Lasthenia glaberrima - Rayless Goldfields,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Silky Beach Pea,NA,Threatened,2013-05-03,Lathyrus littoralis,Silky Beach Pea,NA,Threatened,2023-02-03,Schedule 1,2023-02-03,British Columbia,Vascular Plants,NA,Added to list,2023-05-03,Terrestrial,Lathyrus littoralis - Silky Beach Pea,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Impoverished Pinweed,NA,Data Deficient,1997-04-01,Lechea intermedia var. depauperata,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Saskatchewan,Vascular Plants,NA,NA,2007-04-01,Terrestrial,Lechea intermedia var. depauperata - Impoverished Pinweed,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Beach Pinweed,NA,Special Concern,2008-04-25,Lechea maritima,Beach Pinweed,NA,Special Concern,2010-02-23,Schedule 1,2010-02-23,"New Brunswick, Prince Edward Island",Vascular Plants,NA,Added to list,2018-04-25,Terrestrial,Lechea maritima - Beach Pinweed,Terrestrial,Vascular plants,Lechea maritima,Beach Pinweed,NA,Special Concern,2026-April-01,"CWS, NB, Parks, PE"
Sagebrush Vole,NA,Data Deficient,1996-04-01,Lemmiscus curtatus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, Saskatchewan",Mammals (terrestrial),NA,NA,2006-04-01,Terrestrial,Lemmiscus curtatus - Sagebrush Vole,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Spotted Gar,NA,Endangered,2015-11-26,Lepisosteus oculatus,Spotted Gar,NA,Endangered,2019-08-08,Schedule 1,2003-06-05,Ontario,Fishes (freshwater),NA,Uplisted: Threatened to endangered,2025-11-26,Aquatic,Lepisosteus oculatus - Spotted Gar,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Redbreast Sunfish,NA,Data Deficient,2008-04-25,Lepomis auritus,Redbreast Sunfish,NA,NA,9999-01-01,NA,9999-01-01,New Brunswick,Fishes (freshwater),NA,NA,2018-04-25,Aquatic,Lepomis auritus - Redbreast Sunfish,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Green Sunfish,NA,Not at Risk,1987-04-01,Lepomis cyanellus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Fishes (freshwater),NA,NA,1997-04-01,Aquatic,Lepomis cyanellus - Green Sunfish,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Warmouth,NA,Endangered,2015-05-01,Lepomis gulosus,Warmouth,NA,Special Concern,9999-01-01,Schedule 1,2003-06-05,Ontario,Fishes (freshwater),Status change,Pending,2025-05-01,Aquatic,Lepomis gulosus - Warmouth,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Orangespotted Sunfish,NA,Non-active,2008-04-25,Lepomis humilis,Orangespotted Sunfish,NA,NA,9999-01-01,NA,9999-01-01,Ontario,Fishes (freshwater),NA,NA,2018-04-25,Aquatic,Lepomis humilis - Orangespotted Sunfish,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Sunfish,NA,Non-active,2016-04-29,Lepomis peltastes,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Ontario, Quebec",Fishes (freshwater),NA,NA,2026-04-29,Aquatic,Lepomis peltastes - Northern Sunfish,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Sunfish,Great Lakes - Upper St. Lawrence population,Special Concern,2016-04-29,Lepomis peltastes,Northern Sunfish,Great Lakes - Upper St. Lawrence population,Special Concern,2019-08-08,Schedule 1,2019-08-08,"Ontario, Quebec",Fishes (freshwater),NA,Added to list,2026-04-29,Aquatic,Lepomis peltastes - Northern Sunfish (Great Lakes - Upper St. Lawrence population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Sunfish,Saskatchewan - Nelson River population,Not at Risk,2016-04-29,Lepomis peltastes,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Fishes (freshwater),NA,NA,2026-04-29,Aquatic,Lepomis peltastes - Northern Sunfish (Saskatchewan - Nelson River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Batwing Vinyl Lichen,NA,Endangered,2011-05-06,Leptogium platynum,Batwing Vinyl Lichen,NA,Endangered,2017-02-03,Schedule 1,2017-02-03,British Columbia,Lichens,NA,Added to list,2021-05-06,Terrestrial,Leptogium platynum - Batwing Vinyl Lichen,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Peacock Vinyl Lichen,NA,Special Concern,2011-05-06,Leptogium polycarpum,Peacock Vinyl Lichen,NA,Special Concern,2017-02-03,Schedule 1,2017-02-03,British Columbia,Lichens,NA,Added to list,2021-05-06,Terrestrial,Leptogium polycarpum - Peacock Vinyl Lichen,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Flooded Jellyskin,NA,Special Concern,2015-11-26,Leptogium rivulare,Flooded Jellyskin,NA,Special Concern,2019-02-25,Schedule 1,2005-07-14,"Manitoba, Ontario, Quebec",Lichens,NA,Downlisted: Threatened to special concern,2025-11-26,Terrestrial,Leptogium rivulare - Flooded Jellyskin,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Slender Bush-clover,NA,Endangered,2013-05-03,Lespedeza virginica,Slender Bush-clover,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,NA,Added to list,2023-05-03,Terrestrial,Lespedeza virginica - Slender Bush-clover,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Alaskan Brook Lamprey,NA,Data Deficient,2006-04-29,Lethenteron alaskense,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Northwest Territories,Fishes (freshwater),NA,NA,2016-04-29,Aquatic,Lethenteron alaskense - Alaskan Brook Lamprey,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Winter Skate,Eastern Scotian Shelf - Newfoundland population,Endangered,2015-05-01,Leucoraja ocellata,Winter Skate,Eastern Scotian Shelf - Newfoundland population,No Status,9999-01-01,No schedule,9999-01-01,Atlantic Ocean,Fishes (marine),Addition,Pending,2025-05-01,Aquatic,Leucoraja ocellata - Winter Skate (Eastern Scotian Shelf - Newfoundland population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Winter Skate,Eastern Scotian Shelf population,Non-active,2015-05-01,Leucoraja ocellata,Winter Skate,Eastern Scotian Shelf population,No Status,2010-02-23,No schedule,9999-01-01,Atlantic Ocean,Fishes (marine),NA,Not to list,2025-05-01,Aquatic,Leucoraja ocellata - Winter Skate (Eastern Scotian Shelf population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Winter Skate,Gulf of St. Lawrence population,Endangered,2015-05-01,Leucoraja ocellata,Winter Skate,Gulf of St. Lawrence population,No Status,9999-01-01,No schedule,9999-01-01,Atlantic Ocean,Fishes (marine),Addition,Pending,2025-05-01,Aquatic,Leucoraja ocellata - Winter Skate (Gulf of St. Lawrence population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Winter Skate,Northern Gulf-Newfoundland population,Non-active,2015-05-01,Leucoraja ocellata,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Atlantic Ocean,Fishes (marine),NA,NA,2025-05-01,Aquatic,Leucoraja ocellata - Winter Skate (Northern Gulf-Newfoundland population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Winter Skate,Southern Gulf of St. Lawrence population,Non-active,2015-05-01,Leucoraja ocellata,Winter Skate,Southern Gulf of St. Lawrence population,No Status,2010-02-23,No schedule,9999-01-01,Atlantic Ocean,Fishes (marine),NA,Not to list,2025-05-01,Aquatic,Leucoraja ocellata - Winter Skate (Southern Gulf of St. Lawrence population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Winter Skate,Western Scotian Shelf - Georges Bank population,Not at Risk,2015-05-01,Leucoraja ocellata,Winter Skate,Western Scotian Shelf - Georges Bank population,No Status,2010-02-23,No schedule,9999-01-01,Atlantic Ocean,Fishes (marine),NA,Not to list,2025-05-01,Aquatic,Leucoraja ocellata - Winter Skate (Western Scotian Shelf - Georges Bank population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Tweedy's Lewisia,NA,Endangered,2013-11-01,Lewisiopsis tweedyi,Tweedy's Lewisia,NA,Endangered,2018-02-02,Schedule 1,2018-02-02,British Columbia,Vascular Plants,NA,Added to list,2023-11-01,Terrestrial,Lewisiopsis tweedyi - Tweedy's Lewisia,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Dense Blazing Star,NA,Threatened,2010-04-25,Liatris spicata,Dense Blazing Star,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,NA,Added to list,2020-04-25,Terrestrial,Liatris spicata - Dense Blazing Star,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Pondmussel,NA,Special Concern,2017-04-28,Ligumia nasuta,Eastern Pondmussel,NA,Special Concern,2019-08-08,Schedule 1,2013-03-08,Ontario,Molluscs,NA,Downlisted: Endangered to special concern,2027-04-28,Aquatic,Ligumia nasuta - Eastern Pondmussel,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Lilaeopsis,NA,Special Concern,2004-05-01,Lilaeopsis chinensis,Eastern Lilaeopsis,NA,Special Concern,2005-07-14,Schedule 1,2005-07-14,Nova Scotia,Vascular Plants,NA,Added to list,2014-05-01,Terrestrial,Lilaeopsis chinensis - Eastern Lilaeopsis,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Weidemeyer's Admiral,NA,Special Concern,2012-05-04,Limenitis weidemeyerii,Weidemeyer's Admiral,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,Alberta,Arthropods,NA,Added to list,2022-05-04,Terrestrial,Limenitis weidemeyerii - Weidemeyer's Admiral,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Macoun's Meadowfoam,NA,Special Concern,2023-12-01,Limnanthes macounii,Macoun's Meadowfoam,NA,Threatened,9999-01-01,Schedule 1,2006-08-15,British Columbia,Vascular Plants,Status change,Pending,2033-12-01,Terrestrial,Limnanthes macounii - Macoun's Meadowfoam,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Short-billed Dowitcher caurinus subspecies,NA,Endangered,2024-11-28,Limnodromus griseus caurinus,Short-billed Dowitcher caurinus subspecies,NA,No Status,9999-01-01,No schedule,9999-01-01,"British Columbia, Yukon",Birds,Addition,Pending,2034-11-28,Terrestrial,Limnodromus griseus caurinus - Short-billed Dowitcher caurinus subspecies,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Short-billed Dowitcher hendersoni/griseus,NA,Threatened,2024-11-28,Limnodromus griseus hendersoni/griseus,Short-billed Dowitcher hendersoni/griseus,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Birds,Addition,Pending,2034-11-28,Terrestrial,Limnodromus griseus hendersoni/griseus - Short-billed Dowitcher hendersoni/griseus,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Marbled Godwit,NA,Not applicable,9999-01-01,Limosa fedoa,NA,NA,NA,9999-01-01,NA,9999-01-01,"AB, BC, CMN, CWS, MB, ON, Parks, QC, SK",Birds,NA,NA,9999-01-01,Terrestrial,Limosa fedoa - Marbled Godwit,Terrestrial,Birds,Limosa fedoa,Marbled Godwit,NA,Not applicable,2026-November-01,"AB, BC, CMN, CWS, MB, ON, Parks, QC, SK"
