COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision,Estimated re-assessment,Domain,Unique_ID,Domain_status,Taxonomic group_status,Scientific name_status,COSEWIC common name_status,COSEWIC population_status,COSEWIC status_status,Scheduled Assessment,Range_status
White Sturgeon,NA,none,9999-01-01,Acipenser transmontanus,White Sturgeon,Nechako River population,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Fishes (freshwater),NA,Added to list,9999-01-01,Aquatic,Acipenser transmontanus -  <blank>  (Nechako River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
White Sturgeon,NA,none,9999-01-01,Acipenser transmontanus,White Sturgeon,Upper Columbia River population,No Status,2019-08-08,No schedule,2006-08-15,British Columbia,Fishes (freshwater),NA,Struck - WS reassignment,9999-01-01,Aquatic,Acipenser transmontanus -  <blank>  (Upper Columbia River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
White Sturgeon,NA,none,9999-01-01,Acipenser transmontanus,White Sturgeon,Upper Fraser River population,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Fishes (freshwater),NA,Added to list,9999-01-01,Aquatic,Acipenser transmontanus -  <blank>  (Upper Fraser River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
White Sturgeon,NA,Non-active,2012-11-25,Acipenser transmontanus,White Sturgeon,NA,No Status,9999-01-01,NA,9999-01-01,British Columbia,Fishes (freshwater),NA,NA,2022-11-25,Aquatic,Acipenser transmontanus - White Sturgeon,NA,NA,NA,NA,NA,NA,9999-01-01,NA
White Sturgeon,Lower Fraser River population,Threatened,2012-11-25,Acipenser transmontanus,White Sturgeon,Lower Fraser River population,No Status,9999-01-01,NA,9999-01-01,British Columbia,Fishes (freshwater),NA,NA,2022-11-25,Aquatic,Acipenser transmontanus - White Sturgeon (Lower Fraser River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
White Sturgeon,Upper Columbia River population,Endangered,2012-11-25,Acipenser transmontanus,White Sturgeon,Upper Columbia River population,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Fishes (freshwater),NA,Added to list,2022-11-25,Aquatic,Acipenser transmontanus - White Sturgeon (Upper Columbia River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
White Sturgeon,"Upper Fraser River (plus Nechako, Mid Fraser) population",Endangered,2012-11-25,Acipenser transmontanus,White Sturgeon,"Upper Fraser River (plus Nechako, Mid Fraser) population",No Status,9999-01-01,NA,9999-01-01,British Columbia,Fishes (freshwater),NA,NA,2022-11-25,Aquatic,Acipenser transmontanus - White Sturgeon (Upper Fraser River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
White Sturgeon,Upper Kootenay River population,Endangered,2012-11-25,Acipenser transmontanus,White Sturgeon,Upper Kootenay River population,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Fishes (freshwater),NA,Added to list,2022-11-25,Aquatic,Acipenser transmontanus - White Sturgeon (Upper Kootenay River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Blanchard's Cricket Frog,NA,Extirpated,2024-05-09,Acris blanchardi,Blanchard's Cricket Frog,NA,Endangered,9999-01-01,Schedule 1,2003-06-05,Ontario,Amphibians,Status change,Pending,2034-05-09,Terrestrial,Acris blanchardi - Blanchard's Cricket Frog,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Chiselmouth,NA,Not at Risk,2003-05-01,Acrocheilus alutaceus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Fishes (freshwater),NA,NA,2013-05-01,Aquatic,Acrocheilus alutaceus - Chiselmouth,NA,NA,NA,NA,NA,NA,9999-01-01,NA
