"unique_id","COSEWIC common name","COSEWIC population","COSEWIC status","COSEWIC last assessment date","Scientific name","Legal common name","Legal population","Schedule status","Last status change","SARA schedule","Date added","Range","Taxonomic group","Under consideration for","GIC decision","Domain","Estimated re-assessment"
"Sal_con_Pac","Bull Trout","Pacific population","Not at Risk",2012-11-25,"Salvelinus confluentus",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia","Fishes (freshwater)",NA,NA,"Aquatic",2022-11-25
"Sal_con_Sou","Bull Trout","South Coast British Columbia population","Special Concern",2012-11-25,"Salvelinus confluentus","Bull Trout","South Coast British Columbia population","Special Concern",2019-08-08,"Schedule 1",2019-08-08,"British Columbia","Fishes (freshwater)",NA,"Added to list","Aquatic",2022-11-25
"Sal_con_Upp","Bull Trout","Upper Yukon Watershed population","Data Deficient",2012-11-25,"Salvelinus confluentus",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia, Yukon","Fishes (freshwater)",NA,NA,"Aquatic",2022-11-25
"Sal_con_Wes","Bull Trout","Western Arctic population","Special Concern",2012-11-25,"Salvelinus confluentus","Bull Trout","Western Arctic population","Special Concern",2019-08-08,"Schedule 1",2019-08-08,"Alberta, British Columbia, Northwest Territories, Yukon","Fishes (freshwater)",NA,"Added to list","Aquatic",2022-11-25
"Ath_cun_gen","Burrowing Owl","general","Endangered",2017-04-28,"Athene cunicularia","Burrowing Owl",NA,"Endangered",2003-06-05,"Schedule 1",2003-06-05,"Alberta, British Columbia, Manitoba, Saskatchewan","Birds",NA,"Added to list","Terrestrial",2027-04-28
"Ran_cal_gen","California Buttercup","general","Endangered",2008-11-28,"Ranunculus californicus","California Buttercup",NA,"Endangered",2011-02-04,"Schedule 1",2011-02-04,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2018-11-28
"Zal_cal_gen","California Sea Lion","general","Not at Risk",1987-04-01,"Zalophus californianus",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Mammals (marine)",NA,NA,"Aquatic",1997-04-01
"Pol_cal_gen","California Sword Fern","general","Endangered",2023-05-05,"Polystichum californicum","California Sword Fern",NA,"No Status",NA,"No schedule",NA,"British Columbia","Vascular Plants","Addition","Pending","Terrestrial",2033-05-05
"Lyn_can_gen","Canada Lynx","general","Not at Risk",2001-05-01,"Lynx canadensis",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Quebec, Saskatchewan, Yukon","Mammals (terrestrial)",NA,NA,"Terrestrial",2011-05-01
"Car_can_gen","Canada Warbler","general","Special Concern",2020-11-04,"Cardellina canadensis","Canada Warbler",NA,"Threatened",NA,"Schedule 1",2010-02-23,"Alberta, British Columbia, Manitoba, New Brunswick, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon","Birds","Status change","Pending","Terrestrial",2030-11-04
"Seb_pin_gen","Canary Rockfish","general","Threatened",2007-11-30,"Sebastes pinniger","Canary Rockfish",NA,"No Status",2011-06-23,"No schedule",NA,"Pacific Ocean","Fishes (marine)",NA,"Not to list","Aquatic",2017-11-30
"Cat_mex_gen","Canyon Wren","general","Not at Risk",1992-04-01,"Catherpes mexicanus",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia","Birds",NA,NA,"Terrestrial",2002-04-01
"Sel_car_gen","Carey’s Small Limestone Moss","general","Endangered",2019-05-03,"Seligeria careyana","Carey’s Small Limestone Moss",NA,"Endangered",2023-02-03,"Schedule 1",2023-02-03,"British Columbia","Mosses",NA,"Added to list","Terrestrial",2029-05-03
"Ran_tar_Bor","Caribou","Boreal population","Threatened",2014-11-28,"Rangifer tarandus","Caribou","Boreal population","Threatened",2003-06-05,"Schedule 1",2003-06-05,"Alberta, British Columbia, Manitoba, Newfoundland and Labrador, Northwest Territories, Ontario, Quebec, Saskatchewan, Yukon","Mammals (terrestrial)",NA,"Added to list","Terrestrial",2024-11-28
"Ran_tar_Cen","Caribou","Central Mountain population","Endangered",2014-05-02,"Rangifer tarandus","Caribou","Central Mountain population","No Status",2022-02-03,"No schedule",NA,"Alberta, British Columbia","Mammals (terrestrial)",NA,"Refer back","Terrestrial",2024-05-02
"Ran_tar_gen","Caribou dawsoni subspecies","general","Extinct",2000-05-01,"Rangifer tarandus dawsoni",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia","Mammals (terrestrial)",NA,NA,"Terrestrial",2010-05-01
"Ran_tar_Nor","Caribou","Northern Mountain population","Special Concern",2014-05-02,"Rangifer tarandus","Caribou","Northern Mountain population","No Status",2022-02-03,"No schedule",NA,"British Columbia, Northwest Territories, Yukon","Mammals (terrestrial)",NA,"Refer back","Terrestrial",2024-05-02
"Ran_tar_Sou","Caribou","Southern Mountain population","Endangered",2014-05-02,"Rangifer tarandus","Caribou","Southern Mountain population","No Status",2022-02-03,"No schedule",NA,"British Columbia","Mammals (terrestrial)",NA,"Refer back","Terrestrial",2024-05-02
"Spe_sat_gen","Cascade Mantled Ground Squirrel","general","Not at Risk",1992-04-01,"Spermophilus saturatus",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia","Mammals (terrestrial)",NA,NA,"Terrestrial",2002-04-01
"Ste_cas_gen","Caspian Tern","general","Not at Risk",1999-04-01,"Sterna caspia",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Manitoba, Newfoundland and Labrador, Northwest Territories, Ontario, Quebec, Saskatchewan","Birds",NA,NA,"Terrestrial",2009-04-01
"Pty_ale_gen","Cassin's Auklet","general","Special Concern",2014-11-28,"Ptychoramphus aleuticus","Cassin's Auklet",NA,"Special Concern",2019-05-22,"Schedule 1",2019-05-22,"British Columbia, Pacific Ocean","Birds",NA,"Added to list","Terrestrial",2024-11-28
"Onc_tsh_Eas","Chinook Salmon","East Vancouver Island, Ocean, Fall (EVI + SFj) population","Not at Risk",2020-11-04,"Oncorhynchus tshawytscha",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)",NA,NA,"Aquatic",2030-11-04
"Onc_tsh_Eas","Chinook Salmon","East Vancouver Island, Ocean, Fall population","Special Concern",2020-11-04,"Oncorhynchus tshawytscha","Chinook Salmon","East Vancouver Island, Ocean, Fall population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2030-11-04
"Onc_tsh_Eas","Chinook Salmon","East Vancouver Island, Ocean, Summer population","Endangered",2020-11-04,"Oncorhynchus tshawytscha","Chinook Salmon","East Vancouver Island, Ocean, Summer population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2030-11-04
"Onc_tsh_Eas","Chinook Salmon","East Vancouver Island, Stream, Spring population","Endangered",2018-11-01,"Oncorhynchus tshawytscha","Chinook Salmon","East Vancouver Island, Stream, Spring population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2028-11-01
"Onc_tsh_Low","Chinook Salmon","Lower Fraser, Ocean, Fall population","Threatened",2018-11-01,"Oncorhynchus tshawytscha","Chinook Salmon","Lower Fraser, Ocean, Fall population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2028-11-01
"Onc_tsh_Low","Chinook Salmon","Lower Fraser, Ocean, Summer population","Endangered",2020-11-04,"Oncorhynchus tshawytscha","Chinook Salmon","Lower Fraser, Ocean, Summer population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2030-11-04
"Onc_tsh_Low","Chinook Salmon","Lower Fraser, Stream, Spring population","Special Concern",2018-11-01,"Oncorhynchus tshawytscha","Chinook Salmon","Lower Fraser, Stream, Spring population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2028-11-01
"Onc_tsh_Low","Chinook Salmon","Lower Fraser, Stream, Summer (Upper Pitt) population","Endangered",2018-11-01,"Oncorhynchus tshawytscha","Chinook Salmon","Lower Fraser, Stream, Summer (Upper Pitt) population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2028-11-01
"Onc_tsh_Low","Chinook Salmon","Lower Fraser, Stream, Summer population","Threatened",2018-11-01,"Oncorhynchus tshawytscha","Chinook Salmon","Lower Fraser, Stream, Summer population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2028-11-01
"Onc_tsh_Low","Chinook Salmon","Lower Thompson, Stream, Spring population","Endangered",2020-11-04,"Oncorhynchus tshawytscha","Chinook Salmon","Lower Thompson, Stream, Spring population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2030-11-04
"Onc_tsh_Mid","Chinook Salmon","Middle Fraser, Stream, Fall population","Endangered",2018-11-01,"Oncorhynchus tshawytscha","Chinook Salmon","Middle Fraser, Stream, Fall population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2028-11-01
"Onc_tsh_Mid","Chinook Salmon","Middle Fraser, Stream, Spring (MFR+GStr) population","Threatened",2018-11-01,"Oncorhynchus tshawytscha","Chinook Salmon","Middle Fraser, Stream, Spring (MFR+GStr) population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2028-11-01
"Onc_tsh_Mid","Chinook Salmon","Middle Fraser, Stream, Spring population","Endangered",2018-11-01,"Oncorhynchus tshawytscha","Chinook Salmon","Middle Fraser, Stream, Spring population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2028-11-01
"Onc_tsh_Mid","Chinook Salmon","Middle Fraser, Stream, Summer population","Threatened",2018-11-01,"Oncorhynchus tshawytscha","Chinook Salmon","Middle Fraser, Stream, Summer population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2028-11-01
"Onc_tsh_Nor","Chinook Salmon","North Thompson, Stream, Spring population","Endangered",2018-11-01,"Oncorhynchus tshawytscha","Chinook Salmon","North Thompson, Stream, Spring population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2028-11-01
"Onc_tsh_Nor","Chinook Salmon","North Thompson, Stream, Summer population","Endangered",2018-11-01,"Oncorhynchus tshawytscha","Chinook Salmon","North Thompson, Stream, Summer population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2028-11-01
"Onc_tsh_Oka","Chinook Salmon","Okanagan population","Endangered",2017-04-28,"Oncorhynchus tshawytscha","Chinook Salmon","Okanagan population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2027-04-28
"Onc_tsh_Sou","Chinook Salmon","South Coast - Georgia Strait, Ocean, Fall population","Data Deficient",2020-11-04,"Oncorhynchus tshawytscha",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)",NA,NA,"Aquatic",2030-11-04
"Onc_tsh_Sou","Chinook Salmon","South Coast - Southern Fjords, Ocean, Fall population","Data Deficient",2020-11-04,"Oncorhynchus tshawytscha",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)",NA,NA,"Aquatic",2030-11-04
"Onc_tsh_Sou","Chinook Salmon","South Thompson, Ocean, Summer population","Not at Risk",2018-11-01,"Oncorhynchus tshawytscha",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)",NA,NA,"Aquatic",2028-11-01
"Onc_tsh_Sou","Chinook Salmon","South Thompson, Stream, Summer 1.2 population","Endangered",2018-11-01,"Oncorhynchus tshawytscha","Chinook Salmon","South Thompson, Stream, Summer 1.2 population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2028-11-01
"Onc_tsh_Sou","Chinook Salmon","South Thompson, Stream, Summer 1.3 population","Endangered",2020-11-04,"Oncorhynchus tshawytscha","Chinook Salmon","South Thompson, Stream, Summer 1.3 population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2030-11-04
"Onc_tsh_Sou","Chinook Salmon","Southern Mainland Boundary Bay, Ocean, Fall population","Threatened",2020-11-04,"Oncorhynchus tshawytscha","Chinook Salmon","Southern Mainland Boundary Bay, Ocean, Fall population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2030-11-04
