Unique_ID,Domain,Taxonomic group,Scientific name,COSEWIC common name,Candidate list,Priority,Date nominated,Rationale
Cottus cognatus - Slimy Sculpin,Aquatic,Fishes (freshwater),Cottus cognatus,Slimy Sculpin,SSC,SSC - Group 3,9999,NA
Cottus ricei - Spoonhead Sculpin,Aquatic,Fishes (freshwater),Cottus ricei,Spoonhead Sculpin,SSC,SSC - Group 3,9999,NA
Cupido comyntas - Eastern Tailed Blue (British Columbia population),Terrestrial,Arthropods,Cupido comyntas,Eastern Tailed Blue (British Columbia population),SSC,SSC - Group 2,9999,NA
Dendriscosticta gelida - (common name not available),Terrestrial,Lichens,Dendriscosticta gelida,(common name not available),SSC,SSC - Group 3,9999,NA
Dendriscosticta oroborealis - Half Moon Lichen,Terrestrial,Lichens,Dendriscosticta oroborealis,Half Moon Lichen,SSC,SSC - Group 2,9999,NA
Dendrobazzania griffithiana - (common name not available),Terrestrial,Mosses,Dendrobazzania griffithiana,(common name not available),SSC,SSC - Group 2,9999,NA
Dissosteira spurcata - White-winged Grasshopper,Terrestrial,Arthropods,Dissosteira spurcata,White-winged Grasshopper,COSEWIC,COSEWIC - Group 1,2019,"This grasshopper is associated with arid shrub-steppe in the intermountain west. It reaches its northern limit in the southern Okanagan Valley. Within its Canadian range, it is highly localized and has been recently recorded at only two sites. One is a Haynes Lease Wildlife Area at the north end of Osoyoos Lake and the other is a parcel of crown land on the west side of Osoyoos. While the wildlife area is secure, the crown land is under pressure for annexation and development by the town of Osoyoos. It is currently used for off-road driving and hiking. The species could also occur on the east side of Osoyoos Lake on the Osoyoos Indian Reserve. This would not greatly change the status of the species."
Elgaria coerulea - Northern Alligator Lizard,,No candidates currently listed,Elgaria coerulea,Northern Alligator Lizard,SSC,SSC - Group 3,9999,NA
Ensatina eschscholtzii - Ensatina,Terrestrial,Amphibians,Ensatina eschscholtzii,Ensatina,SSC,SSC - Group 2,9999,NA
Entosphenus tridentatus - Pacific Lamprey,Aquatic,Fishes (freshwater),Entosphenus tridentatus,Pacific Lamprey,SSC,SSC - Group 1,9999,NA
Eremophila alpestris - Horned Lark,Terrestrial,Birds,Eremophila alpestris,Horned Lark,SSC,SSC - Group 1,2020,"Horned Lark is a Holarctic landbird that occurs in Canada's tundra and prairie grasslands, and other open landscapes from seaside barrens to above the alpine tree-line. One of the eight subspecies that occur in Canada, Streaked Horned Lark, was assessed by COSEWIC as Endangered in 2003 and 2018; the other seven are considered here. Horned Lark subspecies differ in range, body size and colouration. Most subspecies have populations estimated at >1 million mature individuals in Canada, but Pallid Horned Lark and Dusky Horned Lark may have only 15,000 to 20,000 mature individuals each. Overall, the Canadian population of Horned Lark is estimated to be about 28 million mature individuals. After apparent increases in the late 1800s, most populations have declined continuously since the 1940s, with loss of marginal agricultural areas and intensification of agriculture in breeding areas, and loss of native grassland habitat negatively affecting populations on both breeding and wintering grounds. Population estimates and trends are difficult to determine for individual subspecies, and appear to vary substantially. However, at the national level, Breeding Bird Survey data for Horned Lark show a long-term (1970-2018) decline of 89% (95% credible interval: -91%, -86%), corresponding to a trend of -4.4% per year (-4.9%, -4.0%), with a short-term (2008-2018) decline of -58% (-64%, -52%), corresponding to an annual trend of -8.4% (-9.7%, -7.0%)."
Erioderma sorediatum - Mouse Ears,Terrestrial,Lichens,Erioderma sorediatum,Mouse Ears,COSEWIC,COSEWIC - Group 1,2022,"Mouse Ears is a rare cyanolichens restricted to coastal forests. In British Columbia, it is found in four subpopulations in 5-10 locations. However some of the occurrences have not been visited for several decades. The small number of locations and the very low density of thalli found at these locations despite substantial search efforts over the last few decades suggest that this species is very rare in coastal British Columbia and could be getting rarer due to threats. In addition, this species lives on ephemeral habitats and are subject to significant threats such as logging, climate warming (heat dome of 2021), and cabin development and other anthropogenic activities along the coast-line. As a result of this information it is recommended that Erioderma sorediatum be seriously considered for an official priority status assessment."
Erynnis propertius - Propertius Duskywing,Terrestrial,Arthropods,Erynnis propertius,Propertius Duskywing,SSC,SSC - Group 2,9999,NA
Euphagus cyanocephalus - Brewer's Blackbird,Terrestrial,Birds,Euphagus cyanocephalus,Brewer's Blackbird,SSC,SSC - Group 3,9999,NA
Fuscopannaria ahlneri - Corrugated Shingles Lichen,Terrestrial,Lichens,Fuscopannaria ahlneri,Corrugated Shingles Lichen,SSC,SSC - Group 2,9999,NA
Fuscopannaria coralloidea - Coral Shingle Lichen,Terrestrial,Lichens,Fuscopannaria coralloidea,Coral Shingle Lichen,SSC,SSC - Group 2,9999,NA
Gavia adamsii - Yellow-billed Loon,Terrestrial,Birds,Gavia adamsii,Yellow-billed Loon,SSC,SSC - Group 1,2024,"Yellow Globelet (Mesodon clausus) is a rare land snail at the northern limit of its range in southern Ontario. It lives in deciduous woods and open alvar/savannah. Two subpopulations are known: in Petroglyphs Provincial Park (Peterborough County) and Pelee Island (Essex County). The species is probably extremely rare at all sites. Numerous collections (1991-2023) from other places in Ontario have not found this species. Some degree of protection is afforded at both sites; however, the sites are managed with controlled burns which may increase mortality. Habitat degradation due to exotic earthworms and invasive plants, trampling by park visitors and climate change are threats to this species. Rescue from outside Canada is limited due to the Great Lakes acting as barrier and to low dispersal capacity of the snail."
Gypsoplaca macrophylla - Gypsum Earthscale Lichen,Terrestrial,Lichens,Gypsoplaca macrophylla,Gypsum Earthscale Lichen,SSC,SSC - Group 3,9999,NA
Hesperotettix viridis - (common name not available),Terrestrial,Arthropods,Hesperotettix viridis,(common name not available),SSC,SSC - Group 2,9999,NA
Hystrichopsylla schefferi - (common name not available),Terrestrial,Arthropods,Hystrichopsylla schefferi,(common name not available),SSC,SSC - Group 1,9999,NA
Lagenorhynchus obliquidens - Pacific White-sided Dolphin,Aquatic,Mammals (marine),Lagenorhynchus obliquidens,Pacific White-sided Dolphin,SSC,SSC - Group 3,9999,NA
Lasioglossum yukonae - (common name not available),Terrestrial,Arthropods,Lasioglossum yukonae,(common name not available),SSC,SSC - Group 2,9999,NA
