Group,Priority,Common name,Scientific Name,Location
Freshwater Fishes,Group 3 - Low priority candidates,Least Darter,Etheostoma microperca,"CWS, DFO, ON, Parks"
Freshwater Fishes,Group 3 - Low priority candidates,Tessellated Darter,Etheostoma olmstedi,"CWS, DFO, ON, Parks, QC"
Freshwater Fishes,Group 3 - Low priority candidates,Eastern Silvery Minnow,Hybognathus regius,"CWS, DFO, ON, Parks, QC"
Freshwater Fishes,Group 3 - Low priority candidates,Chestnut Lamprey (Saskatchewan-Nelson River Populations),Ichthyomyzon castaneus,"CWS, DFO, MB, ON, Parks, SK"
Freshwater Fishes,Group 3 - Low priority candidates,Bigmouth Buffalo (Great Lakes - Upper St. Lawrence Populations),Ictiobus cyprinellus,"CWS, DFO, ON, Parks"
Freshwater Fishes,Group 3 - Low priority candidates,Black Buffalo,Ictiobus niger,"CWS, DFO, ON, Parks"
Freshwater Fishes,Group 3 - Low priority candidates,Brook Silverside,Labidesthes sicculus,"CWS, DFO, ON, Parks, QC"
Freshwater Fishes,Group 3 - Low priority candidates,Green Sunfish,Lepomis cyanellus,"CWS, DFO, ON, Parks"
Freshwater Fishes,Group 3 - Low priority candidates,Alaskan Brook Lamprey,Lethenteron alaskense,"CWS, DFO, NT, Parks"
Freshwater Fishes,Group 3 - Low priority candidates,Striped Shiner,Luxilus chrysocephalus,"CWS, DFO, ON, Parks"
Freshwater Fishes,Group 3 - Low priority candidates,Redfin Shiner,Lythrurus umbratilis,"CWS, DFO, ON, Parks"
Freshwater Fishes,Group 3 - Low priority candidates,Silver Chub (Saskatchewan - Nelson River populations),Macrhybopsis storeriana,"CWS, DFO, MB, Parks"
Freshwater Fishes,Group 3 - Low priority candidates,Northern Pearl Dace,Margariscus nachtiebi,"AB, BC, CWS, DFO, MB, NB, NL, NS, NT, ON, Parks, QC, SK"
Freshwater Fishes,Group 3 - Low priority candidates,River Chub,Nocomis micropogon,"CWS, DFO, ON, Parks"
Freshwater Fishes,Group 3 - Low priority candidates,River Shiner,Notropis blennius,"AB, CWS, DFO, MB, ON, Parks, SK"
Freshwater Fishes,Group 3 - Low priority candidates,Ghost Shiner,Notropis buchanani,"CWS, DFO, ON, Parks"
Freshwater Fishes,Group 3 - Low priority candidates,Bigmouth Shiner,Notropis dorsalis,"CWS, DFO, MB, Parks"
Freshwater Fishes,Group 3 - Low priority candidates,Rosyface Shiner,Notropis rubellus,"CWS, DFO, ON, Parks, QC"
Freshwater Fishes,Group 3 - Low priority candidates,Weed Shiner,Notropis texanus,"CWS, DFO, MB, Parks"
Freshwater Fishes,Group 3 - Low priority candidates,Margined Madtom,Noturus insignis,"CWS, DFO, ON, Parks, QC"
Freshwater Fishes,Group 3 - Low priority candidates,Blackside Darter,Percina maculata,"CWS, DFO, MB, ON, Parks, SK"
Freshwater Fishes,Group 3 - Low priority candidates,Bluntnose Minnow,Pimephales notatus,"CWS, DFO, MB, ON, Parks, QC"
Freshwater Fishes,Group 3 - Low priority candidates,Round Whitefish,Prosopium cylindraceum,"AB, BC, CWS, DFO, FJMC, GRRB, HFTCC, MB, NB, NL, NT, NU, NWMB, ON, Parks, QC, SK, SRRB, YFWMB, YT"
Freshwater Fishes,Group 3 - Low priority candidates,Flathead Catfish,Pylodictis olivaris,"CWS, DFO, ON, Parks"
Freshwater Fishes,Group 3 - Low priority candidates,Eastern Blacknose Dace,Rhinichthys atratulus,"CWS, DFO, NB, ON, Parks, QC"
Freshwater Fishes,Group 3 - Low priority candidates,Leopard Dace,Rhinichthys falcatus,"BC, CWS, DFO, Parks"
Freshwater Fishes,Group 3 - Low priority candidates,Western Blacknose Dace,Rhinichthys obtusus,"CWS, DFO, MB, ON, Parks, SK"
Freshwater Fishes,Group 3 - Low priority candidates,Lake Trout,Salvelinus namaycush,"AB, CWS, DFO, GRRB, MB, NB, NL, NS, NT, NU, ON, Parks, QC, SK, YT"
Freshwater Fishes,Group 3 - Low priority candidates,Longfin Smelt,Spirinchus thaleichthys,"BC, CWS, DFO, Parks"
Lichens,Group 1 - High priority candidates,(common name not available),Fuscopannaria frullaniae,"CMN, CWS, NB, NL, NS, Parks"
Lichens,Group 1 - High priority candidates,(common name not available),Fuscopannaria nebulosa,"AB, CMN, CWS, Parks"
Lichens,Group 1 - High priority candidates,Giant Candlewax,Ricasolia amplissima subsp. sheiyi,"BC, CMN, CWS, Parks"
Lichens,Group 1 - High priority candidates,Old Grey Crosslobes,Rockefellera crossophylla,"CMN, CWS, NS, Parks, QC"
